work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2021e,SE,FT,Principal DevOps Engineer,151500,USD,151500,US,100,GB,L
2021e,SE,FT,Site Reliability Engineer,97000,EUR,116127,IE,100,IE,L
2021e,MI,FT,DevOps Engineer,100000,USD,100000,US,100,US,S
2021e,SE,FT,Site Reliability Engineer,115000,USD,115000,US,50,US,L
2020,SE,FT,SOC Analyst,85000,CAD,67973,CA,100,CA,S
2021e,SE,FT,Information Security Manager,180000,USD,180000,US,100,US,L
2020,SE,FT,Principal Security Engineer,175000,USD,175000,US,100,US,L
2021e,EN,FT,Ethical Hacker,119000,USD,119000,US,100,US,L
2021e,EX,FT,Chief Information Security Officer,300000,CAD,239905,CA,50,CA,S
2020,MI,FT,Cyber Threat Analyst,72000,USD,72000,US,100,US,L
2020,MI,FT,Cyber Security Architect,102000,USD,102000,US,50,US,L
2021e,EN,FT,Penetration Tester,98000,USD,98000,US,50,US,L
2020,MI,FT,Cyber Security Analyst,87500,USD,87500,US,100,US,L
2020,SE,FT,Security Engineering Manager,27000,USD,27000,AR,50,AR,M
2020,MI,FT,Security Engineer,120000,AUD,82648,AU,50,AU,L
2020,MI,FT,Security Engineer,80000,USD,80000,US,100,US,M
2021e,EX,FT,IAM Engineer,240000,USD,240000,US,50,US,L
2021e,SE,FT,Information Security Officer,124000,USD,124000,US,50,US,L
2021e,EN,FT,Cyber Security Specialist,45100,USD,45100,US,50,US,L
2021e,MI,FT,Penetration Testing Engineer,127000,USD,127000,US,100,US,L
2021e,SE,FT,Data Engineer,150000,USD,150000,US,100,US,L
2021e,MI,FT,BI Data Analyst,11000000,HUF,36944,HU,50,US,L
2020,MI,FT,Data Engineer,88000,GBP,121972,GB,50,GB,L
2020,MI,FT,Data Engineer,106000,USD,106000,US,100,US,L
2021e,SE,FT,Cloud Architect,200000,USD,200000,US,50,US,M
2020,MI,FT,DevOps Engineer,100000,USD,100000,US,100,US,L
2021e,MI,FT,Site Reliability Engineer,125000,USD,125000,US,100,US,L
2020,EX,FT,Security Engineering Manager,600000,USD,600000,US,50,US,L
2021e,MI,FT,Penetration Tester,120000,USD,120000,US,100,US,M
2021e,MI,FT,Cyber Security Analyst,85000,USD,85000,US,100,US,L
2021e,EX,FT,Chief Information Security Officer,130000,USD,130000,US,100,US,L
2020,MI,FT,Information Security Manager,70000,EUR,83803,IE,50,IE,L
2020,SE,FT,Information Security Manager,150000,USD,150000,US,50,US,L
2021e,MI,FT,Cyber Security Specialist,50000,GBP,69302,GB,50,GB,L
2021e,SE,FT,Cybersecurity Analyst,48000,GBP,66530,GB,100,US,L
2020,EN,FT,Cyber Security Engineer,75000,USD,75000,US,100,US,L
2021e,MI,FT,Chief Information Security Officer,44000,GBP,60986,GB,100,GB,L
2020,SE,FT,Cyber Security Engineer,135000,USD,135000,US,50,US,L
2021e,MI,FT,Cyber Security Analyst,145000,USD,145000,US,50,US,L
2021e,MI,FT,Cybersecurity Analyst,92000,USD,92000,US,100,US,L
2021e,MI,FT,IT Security Engineer,10320000,HUF,34660,HU,50,HU,M
2021e,SE,FT,Principal Cloud Security Engineer,130000,USD,130000,US,100,US,L
2021e,EN,FT,Cybersecurity Analyst,70000,USD,70000,US,100,US,L
2021e,EN,FT,SOC Analyst,36200,GBP,50175,GB,100,GB,M
2021e,EN,FT,Cyber Threat Analyst,20000,EUR,23943,GR,100,US,L
2021e,MI,FT,Information Security Manager,100000,USD,100000,US,50,US,M
2021e,MI,FT,Cyber Security Engineer,130000,USD,130000,US,50,US,L
2021e,MI,FT,Cyber Security Analyst,150000,USD,150000,US,50,US,M
2021e,MI,FT,Infrastructure Security Engineer,120000,USD,120000,US,50,US,L
2020,EN,FT,Cyber Security Analyst,80000,USD,80000,US,50,US,L
2021e,SE,FT,Information Security Manager,123000,USD,123000,US,100,US,L
2021e,EN,FT,Data Scientist,2200000,INR,29895,IN,50,IN,L
2021e,MI,FT,Cloud Data Engineer,120000,SGD,87006,SG,50,SG,L
2020,MI,FT,Data Scientist,60000,GBP,83163,GB,100,GB,S
2021e,MI,FT,Financial Data Analyst,450000,USD,450000,US,100,US,L
2021e,EN,FT,Computer Vision Software Engineer,70000,USD,70000,US,100,US,M
2021e,MI,FT,Computer Vision Software Engineer,81000,EUR,96972,DE,100,US,S
2020,EN,PT,ML Engineer,14000,EUR,16760,DE,100,DE,S
2021e,MI,FT,Infrastructure Engineer,132000,USD,132000,US,100,US,L
2020,MI,FT,Ansible Automation Engineer,95000,USD,95000,US,50,US,S
2020,SE,FT,Principal DevOps Engineer,130000,USD,130000,US,100,US,S
2021e,SE,FT,DevOps Architect,90000,GBP,124744,AU,100,GB,M
2021e,MI,FT,Cloud Engineer,115000,USD,115000,US,100,US,L
2021e,MI,FT,Principal DevOps Engineer,145000,USD,145000,US,100,US,L
2021e,EN,FT,DevOps Engineer,288000,ZAR,19794,ZA,100,ZA,M
2021e,SE,FT,Cloud Architect,350,PLN,92,PL,100,PL,M
2021e,EN,FT,Devops Engineer,480000,SEK,56600,SE,50,SE,S
2021e,MI,FT,Cloud Security Engineer,110000,USD,110000,US,50,DE,L
2021e,EN,FT,Cloud DevOps Engineer,85000,USD,85000,US,50,US,L
